student_id,gender,age,parental_education,study_time,attendance_rate,previous_grades,extracurricular_activities,internet_access,tutoring,family_support,health,absences,failures,final_grade,pass_fail_status,performance_category
STU_1000,Female,16,Some College,5.3,88.4,74.0,Yes,Yes,No,Yes,Fair,6,0,77.7,Pass,Good
STU_1001,Male,16,Some College,8.3,68.8,61.9,No,No,No,Yes,Good,13,1,60.1,Pass,Satisfactory
STU_1002,Male,16,High School,10.1,86.4,72.9,Yes,Yes,Yes,No,Good,6,1,77.0,Pass,Good
STU_1003,Male,17,Bachelor,10.0,80.9,69.7,Yes,No,No,Yes,Excellent,8,1,65.0,Pass,Satisfactory
STU_1004,Female,15,Bachelor,25.1,84.6,81.8,No,Yes,No,No,Excellent,8,1,86.6,Pass,Excellent
STU_1005,Female,17,Bachelor,6.0,85.7,74.2,No,No,Yes,Yes,Excellent,6,0,79.3,Pass,Good
STU_1006,Female,15,Bachelor,6.7,78.0,61.5,No,Yes,No,Yes,Excellent,11,0,60.8,Pass,Satisfactory
STU_1007,Male,18,Bachelor,7.4,54.1,46.8,Yes,Yes,Yes,No,Fair,19,2,38.9,Fail,At Risk
STU_1008,Male,16,Some College,10.2,80.6,78.7,Yes,Yes,No,Yes,Poor,9,0,72.3,Pass,Good
STU_1009,Male,17,Some College,1.0,72.3,55.6,No,No,Yes,No,Good,12,1,51.4,Fail,At Risk
STU_1010,Female,19,High School,9.4,62.0,51.8,No,Yes,No,Yes,Fair,15,3,35.4,Fail,At Risk
STU_1011,Male,17,Bachelor,4.1,82.9,78.0,Yes,Yes,No,No,Good,6,0,79.4,Pass,Good
STU_1012,Male,17,High School,4.7,94.9,65.5,No,No,No,Yes,Good,4,0,62.5,Pass,Satisfactory
STU_1013,Female,16,Bachelor,6.8,85.4,77.6,Yes,Yes,Yes,Yes,Poor,9,0,78.2,Pass,Good
STU_1014,Female,16,High School,3.7,81.0,53.1,No,Yes,No,No,Excellent,7,1,43.9,Fail,At Risk
STU_1015,Female,17,High School,2.2,87.7,61.8,No,Yes,No,No,Fair,5,0,68.0,Pass,Satisfactory
STU_1016,Female,21,High School,7.1,85.6,72.5,No,Yes,No,No,Good,7,0,74.1,Pass,Good
STU_1017,Male,17,None,11.8,85.2,71.5,No,No,No,No,Good,8,0,65.1,Pass,Satisfactory
STU_1018,Female,17,Bachelor,9.0,82.3,69.9,No,Yes,No,No,Good,7,1,68.1,Pass,Satisfactory
STU_1019,Female,18,Bachelor,14.0,64.7,61.6,Yes,Yes,No,Yes,Good,12,2,55.4,Fail,Satisfactory
STU_1020,Male,17,Some College,2.4,90.7,67.5,Yes,No,No,Yes,Poor,5,0,67.3,Pass,Satisfactory
STU_1021,Female,15,High School,6.3,87.6,72.2,Yes,Yes,No,Yes,Good,6,0,72.1,Pass,Good
STU_1022,Female,17,High School,8.1,53.6,50.5,Yes,Yes,No,Yes,Excellent,18,2,37.6,Fail,At Risk
STU_1023,Female,19,None,4.7,94.5,71.4,No,Yes,No,Yes,Excellent,3,1,65.5,Pass,Satisfactory
STU_1024,Female,16,High School,8.3,93.8,80.6,Yes,Yes,Yes,Yes,Good,3,1,71.0,Pass,Good
STU_1025,Male,17,Master/Doctorate,13.6,83.9,78.5,Yes,Yes,No,Yes,Good,7,1,76.7,Pass,Good
STU_1026,Female,16,High School,10.4,95.6,77.1,No,No,No,Yes,Good,3,0,70.9,Pass,Good
STU_1027,Female,17,High School,14.6,74.3,73.5,No,Yes,Yes,Yes,Excellent,10,0,78.3,Pass,Good
STU_1028,Male,15,High School,9.2,54.5,58.3,Yes,Yes,No,Yes,Fair,17,0,49.2,Fail,At Risk
STU_1029,Female,17,High School,7.5,95.7,80.6,Yes,Yes,No,Yes,Good,2,0,79.5,Pass,Good
STU_1030,Male,18,Some College,16.8,93.2,87.8,Yes,Yes,Yes,No,Excellent,3,0,93.3,Pass,Excellent
STU_1031,Female,16,Some College,8.4,71.5,56.4,No,No,No,No,Good,12,1,59.7,Fail,Satisfactory
STU_1032,Female,17,High School,18.7,81.7,71.0,Yes,No,Yes,Yes,Fair,6,1,78.8,Pass,Good
STU_1033,Male,18,None,12.7,89.6,76.7,No,Yes,Yes,Yes,Good,8,0,81.4,Pass,Good
STU_1034,Male,19,High School,5.3,79.7,73.7,Yes,Yes,No,Yes,Fair,10,0,68.0,Pass,Satisfactory
STU_1035,Male,16,High School,7.1,84.4,76.9,Yes,Yes,Yes,Yes,Good,7,0,78.4,Pass,Good
STU_1036,Female,17,High School,16.7,89.6,86.6,No,Yes,Yes,Yes,Good,4,0,88.8,Pass,Excellent
STU_1037,Female,16,Master/Doctorate,14.0,90.7,87.8,Yes,Yes,No,Yes,Excellent,5,0,89.3,Pass,Excellent
STU_1038,Male,21,Some College,11.7,90.8,74.9,Yes,Yes,Yes,Yes,Good,4,1,73.2,Pass,Good
STU_1039,Female,19,Some College,11.0,96.3,76.8,Yes,Yes,No,Yes,Fair,1,0,85.0,Pass,Excellent
STU_1040,Female,17,Some College,3.5,90.8,70.3,Yes,Yes,No,No,Fair,5,0,66.6,Pass,Satisfactory
STU_1041,Female,18,Some College,4.0,91.0,73.1,Yes,Yes,Yes,No,Excellent,3,0,70.7,Pass,Good
STU_1042,Female,17,Some College,9.0,86.4,83.1,Yes,Yes,Yes,Yes,Fair,6,1,79.1,Pass,Good
STU_1043,Male,17,Bachelor,4.7,95.4,80.1,Yes,Yes,No,Yes,Good,4,0,72.6,Pass,Good
STU_1044,Female,15,Bachelor,6.8,87.8,78.6,Yes,Yes,No,Yes,Fair,5,0,77.3,Pass,Good
STU_1045,Male,18,High School,6.5,88.8,73.3,No,Yes,Yes,Yes,Excellent,7,2,70.6,Pass,Good
STU_1046,Female,16,Some College,10.7,83.1,71.1,No,No,No,No,Good,7,0,73.0,Pass,Good
STU_1047,Male,18,Some College,9.2,85.6,87.3,Yes,Yes,Yes,Yes,Good,7,0,84.1,Pass,Good
STU_1048,Male,18,Bachelor,13.4,91.7,84.2,No,Yes,No,No,Good,3,0,82.5,Pass,Good
STU_1049,Female,18,Some College,9.3,90.7,80.8,Yes,Yes,Yes,Yes,Excellent,4,0,76.7,Pass,Good
STU_1050,Male,15,Some College,8.9,63.3,52.0,Yes,Yes,Yes,No,Good,14,2,50.4,Fail,At Risk
STU_1051,Male,16,High School,7.9,84.8,56.8,Yes,No,Yes,Yes,Good,6,1,58.9,Fail,Satisfactory
STU_1052,Male,16,Some College,14.5,82.9,73.3,Yes,Yes,No,No,Excellent,7,1,73.2,Pass,Good
STU_1053,Male,17,High School,8.0,75.8,70.4,Yes,Yes,No,Yes,Excellent,9,0,59.9,Fail,Satisfactory
STU_1054,Male,15,High School,5.2,87.2,59.5,Yes,No,No,Yes,Good,6,0,63.5,Pass,Satisfactory
STU_1055,Male,19,High School,11.3,96.0,76.9,No,Yes,No,Yes,Excellent,2,0,84.6,Pass,Good
